match_id,end_of_game_result,game_mode,game_name,duration_sec,game_version,win,game_ended_in_early_surrender,championName,lane,champ_level,gold_earned,items_purchased,items,item_names,item_icons,vision_score,damage_dealt,damage_dealt_to_champion,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,damage_taken,minions_killed,baron_kills,dragon_kills,first_bloodKill,first_tower_kill,kills,solo_kills,double_kills,triple_kills,quadra_kills,penta_kills,largest_multi_kill,kill_participation,deaths,assists
KR_7858254806,GameComplete,CLASSIC,teambuilder-match-7858254806,1291,15.20.717.2831,True,False,Jayce,MIDDLE,14,9400,17,3142;3047;3042;1055;3340,,,,99401,,2946,6555,2946,14202,165,0,0,False,False,6,1,0,0,0,0,1,0.5416666666666666,4,7
KR_7858151244,GameComplete,CLASSIC,teambuilder-match-7858151244,1873,15.20.717.2831,True,False,Lissandra,MIDDLE,17,13012,22,4645;1082;3135;2503;1058;3175;3364,,,,187985,,5730,8051,5730,18644,274,0,0,False,False,3,1,0,0,0,0,1,0.5,0,12
KR_7858019563,GameComplete,CLASSIC,teambuilder-match-7858019563,1689,15.20.717.2831,False,False,Leblanc,MIDDLE,15,12124,23,4645;6655;1082;3137;3111;3364,,,,152928,,1423,1423,1423,23137,244,0,0,False,False,6,1,0,0,0,0,1,0.4444444444444444,5,2
KR_7857352690,GameComplete,CHERRY,teambuilder-match-7857352690,1445,15.20.717.2831,False,False,Taliyah,MIDDLE,16,11350,9,223020;223089;447113;224633;226655;4010;3348,,,,175780,,0,0,0,21018,1,0,0,False,False,9,1,1,0,0,0,2,0.2857142857142857,6,3
KR_7856448015,GameComplete,CLASSIC,teambuilder-match-7856448015,1676,15.19.715.1836,True,False,Azir,TOP,17,14645,18,4632;3041;3157;3115;1056;3175;3363,,,,183612,,13120,26650,13120,18426,230,0,0,False,False,5,5,0,0,0,0,1,0.6,1,16
KR_7856357576,GameComplete,CLASSIC,teambuilder-match-7856357576,1630,15.19.715.1836,True,False,Azir,MIDDLE,17,11569,21,2031;3115;2421;3116;1056;1001;3363,,,,135621,,3717,3717,3717,22027,213,0,0,False,False,4,2,1,0,0,0,2,0.25,6,6
KR_7856281659,GameComplete,CLASSIC,teambuilder-match-7856281659,1422,15.19.715.1836,False,False,Aurora,MIDDLE,13,10815,25,3113;6655;3108;3020;1056;4645;3340,,,,106208,,1039,3133,1039,25515,166,0,0,False,False,7,1,1,0,0,0,2,0.5909090909090909,9,6
KR_7856196441,GameComplete,CLASSIC,teambuilder-match-7856196441,915,15.19.715.1836,True,False,Yone,NONE,11,5769,14,2031;3006;3153;3364,,,,60424,,1943,1943,1943,13931,130,0,0,False,False,1,0,0,0,0,0,1,0.26666666666666666,1,3
KR_7855895357,GameComplete,CHERRY,teambuilder-match-7855895357,1309,15.19.715.1836,True,False,Darius,TOP,18,17156,17,226609;223047;446632;447111;226610;223039;3348,,,,152572,,0,0,0,45121,0,0,0,False,False,17,1,4,0,0,0,2,0.3225806451612903,2,3
KR_7855800422,GameComplete,CLASSIC,teambuilder-match-7855800422,1582,15.19.715.1836,True,False,Jayce,TOP,16,10843,26,3142;3042;2055;3035;1055;3171;3363,,,,132103,,11302,11302,11302,19819,182,0,0,False,False,2,2,0,0,0,0,1,0.4411764705882353,7,13
KR_7854217940,GameComplete,CLASSIC,teambuilder-match-7854217940,1349,15.19.715.1836,False,False,Jayce,MIDDLE,14,9075,21,3142;3042;3035;3158;1055;3363,,,,117023,,800,1575,800,17561,197,0,0,False,False,2,1,0,0,0,0,1,0.5833333333333334,6,5
KR_7854155054,GameComplete,CLASSIC,teambuilder-match-7854155054,1956,15.19.715.1836,False,False,Azir,MIDDLE,17,15071,25,2055;3115;3157;3175;3089;3116;3364,,,,228311,,6994,7955,6994,22752,271,0,0,False,True,3,1,0,0,0,0,1,0.3333333333333333,5,3
